date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:00:31	3419/3419	---M--	200	added ('OK')	application/javascript	etag:%22666c22bc-d5b%22	https://proteksistem.com/js/wow.min.js	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/js/wow.min.js	(from https://proteksistem.com/tr.html)
10:00:31	1016/1016	---M--	200	added ('OK')	application/javascript	etag:%22666c22bc-3f8%22	https://proteksistem.com/js/custom.js	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/js/custom.js	(from https://proteksistem.com/tr.html)
10:00:32	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22666c22bc-36ff%22	https://proteksistem.com/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/fonts/glyphicons-halflings-regular.eot	(from https://proteksistem.com/css/bootstrap.min.css)
10:00:32	14079/14079	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22666c22bc-36ff%22	https://proteksistem.com/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://proteksistem.com/css/bootstrap.min.css)
10:00:32	16448/16448	---M--	200	added ('OK')	font/woff	etag:%22666c22bc-4040%22	https://proteksistem.com/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/fonts/glyphicons-halflings-regular.woff	(from https://proteksistem.com/css/bootstrap.min.css)
10:00:32	29512/29512	---M--	200	added ('OK')	application/octet-stream	etag:%22666c22bc-7348%22	https://proteksistem.com/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/fonts/glyphicons-halflings-regular.ttf	(from https://proteksistem.com/css/bootstrap.min.css)
10:00:33	63157/63157	---M--	200	added ('OK')	image/svg+xml	etag:%22666c22bc-f6b5%22	https://proteksistem.com/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/fonts/glyphicons-halflings-regular.svg	(from https://proteksistem.com/css/bootstrap.min.css)
10:00:33	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22666c22bc-953d%22	https://proteksistem.com/font-awesome/fonts/fontawesome-webfont.eot?v=4.0.3	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/font-awesome/fonts/fontawesome-webfontba72.eot	(from https://proteksistem.com/font-awesome/css/font-awesome.min.css)
10:00:33	38205/38205	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22666c22bc-953d%22	https://proteksistem.com/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://proteksistem.com/font-awesome/css/font-awesome.min.css)
10:00:33	44432/44432	---M--	200	added ('OK')	font/woff	etag:%22666c22bc-ad90%22	https://proteksistem.com/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/font-awesome/fonts/fontawesome-webfontba72.woff	(from https://proteksistem.com/font-awesome/css/font-awesome.min.css)
10:00:33	80652/80652	---M--	200	added ('OK')	application/octet-stream	etag:%22666c22bc-13b0c%22	https://proteksistem.com/font-awesome/fonts/fontawesome-webfont.ttf?v=4.0.3	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/font-awesome/fonts/fontawesome-webfontba72.ttf	(from https://proteksistem.com/font-awesome/css/font-awesome.min.css)
10:00:34	202148/202148	---M--	200	added ('OK')	image/svg+xml	etag:%22666c22bc-315a4%22	https://proteksistem.com/font-awesome/fonts/fontawesome-webfont.svg?v=4.0.3	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/font-awesome/fonts/fontawesome-webfontba72.svg	(from https://proteksistem.com/font-awesome/css/font-awesome.min.css)
10:00:34	62843/62843	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-f57b%22	https://proteksistem.com/img/2.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/2.jpg	(from https://proteksistem.com/css/style.css)
10:00:34	48469/48469	---M--	200	added ('OK')	image/jpeg	etag:%22666c22bc-bd55%22	https://proteksistem.com/img/testimonials/cover/mob.jpg	C:/My%20Web%20Sites/ProtekSistem/proteksistem.com/img/testimonials/cover/mob.jpg	(from https://proteksistem.com/css/style.css)
